路線別,車站名稱,電梯位置
中和新蘆線,南勢角,"1.出口電梯：出口3與出口4中央（捷運路上）
2.月臺電梯：大廳層南側"
中和新蘆線,景安,月臺電梯：大廳層男廁旁
中和新蘆線,永安市場,"1.出口電梯：單一出口（中和路上）
2.月臺電梯：大廳層及二月臺中央"
中和新蘆線,頂溪,"1.出口電梯：出口1（永和路2段與中興街、復興街口）
2.月臺電梯：大廳層南側"
中和新蘆線,古亭,"1.出口電梯：出口1（羅斯福路、同安街口）
2.月臺電梯：大廳層南側"
中和新蘆線,東門,"1.出口電梯：出口8（信義路2段，東門郵局旁）
2.月臺電梯：大廳層中央"
中和新蘆線,忠孝新生,"1.出口電梯：出口2（忠孝東路2段、忠孝公園內）
2.月臺電梯：
板南線：大廳層中央
中和新蘆線：大廳層北側"
中和新蘆線,松江南京,"1.出口電梯：
出口1（松江路與南京東路口西南隅，於南京東路上）
出口2（松江路與南京東路口西南隅，於松江路上）
出口8（松江路與南京東路口西北隅，於松江路上）
2.月臺電梯：
中和新蘆線：大廳層南側、北側各一臺"
中和新蘆線,行天宮,"1.出口電梯：出口2（民生東路2段與松江路口東北隅，近松江路235巷）
2.月臺電梯：大廳層中央"
中和新蘆線,中山國小,"1.出口電梯：出口4（民權東路1段中山國小校門旁）
2.月臺電梯：大廳層中央"
中和新蘆線,民權西路,"1.出口電梯（中和新蘆線）：出口10（民權西路與天祥路口西北隅）
2.月臺電梯：
淡水信義線：大廳層中央
中和新蘆線：大廳層中央"
中和新蘆線,大橋頭,"1.出口電梯：出口1後方（民權西路225巷口）
2.月臺電梯：大廳層中央"
中和新蘆線,台北橋,"1.出口電梯：單一出口（重新路1段108號）
2.月臺電梯：大廳層中央"
中和新蘆線,菜寮,"1.出口電梯：出口2（重新路3段150號、近光明路）
2.月臺電梯：大廳層中央"
中和新蘆線,三重,"1.出口電梯：出口1（捷運路36號、近疏洪東路）
2.月臺電梯：大廳層中央"
中和新蘆線,先嗇宮,"1.出口電梯：出口1（重新路5段515號、近光復路1段）
2.月臺電梯：大廳層中央"
中和新蘆線,頭前庄,"1.出口電梯：出口1（思源路18號、近中正路）
2.月臺電梯：大廳層中央"
中和新蘆線,新莊,"1.出口電梯：
出口1（中正路、中華路口）
出口2（中正路、新莊國中校門旁）
2.月臺電梯：大廳層中央"
中和新蘆線,輔大,"1.出口電梯：
出口1（中正路，近輔大校門）
出口2（福營路，近建國一路口）
2.月臺電梯：大廳層中央"
中和新蘆線,丹鳳,"1.出口電梯：出口2（中正路與民安路口）
2.月臺電梯：大廳層中央"
中和新蘆線,迴龍,"1.出口電梯：出口1（中正路北側，往迴龍方向）
2.月臺電梯：大廳層中央"
中和新蘆線,三重國小,"1.出口電梯：單一出口 (三和路3段與仁愛街口)
2.月臺電梯：大廳層中央"
中和新蘆線,三和國中,"1.出口電梯：出口1（三和路4段、三和國中校門旁）
2.月臺電梯：大廳層中央"
中和新蘆線,徐匯中學,"1.出口電梯：出口2（三和路4段與永安北路口）
2.月臺電梯：大廳層西側"
中和新蘆線,三民高中,"1.出口電梯：出口1（三民路與復興路口西南隅）
2.月臺電梯：大廳層中央"
中和新蘆線,蘆洲,"1.出口電梯：出口2（捷運廣場）
2.月臺電梯：大廳層中央"
板南線,南港展覽館,"文湖線：
1.出口電梯： 
出口1 南港展覽館南側
2.月臺電梯：大廳層西側
板南線：
1.出口電梯：
2A出口 (南港路1段與經貿二路口)
出口5、6中央（南港路1段與研究院路1段路口）
2.月臺電梯：大廳層南側
3.轉乘電梯：大廳層西側"
板南線,南港,"1.出口電梯：出口2（臨忠孝東路7段，近國家文官培訓所）
2.月臺電梯：大廳層東側"
板南線,昆陽,月臺電梯：大廳層中央
板南線,後山埤,"1.出口電梯：出口3（臨忠孝東路6段，玉成街口）
2.月臺電梯：大廳層東側"
板南線,永春,"1.出口電梯：出口5（忠孝東路5段與虎林街交叉口）
2.月臺電梯：大廳層東側"
板南線,市政府,"1.出口電梯：出口2（忠孝東路5段與基隆路交叉口，臨市府轉運站）
2.月臺電梯：大廳層西側"
板南線,國父紀念館,"1.出口電梯：出口3、4中央（臨忠孝東路與光復南路交叉口）
2.月臺電梯：大廳層東側"
板南線,忠孝敦化,"1.出口電梯：出口2（忠孝東路4段203號）
2.月臺電梯：大廳層東側"
板南線,忠孝復興,"1.出口電梯：出口2（忠孝東路3段與復興南路1段交叉口）
2.月臺電梯：
文湖線：月臺層南側樓梯後方
板南線：大廳層西側"
板南線,忠孝新生,"1.出口電梯：出口2（忠孝東路2段、忠孝公園內）
2.月臺電梯：
板南線：大廳層中央
中和新蘆線：大廳層北側"
板南線,善導寺,"1.出口電梯：出口3（忠孝東路1段58號巷口，臨忠孝東路1段南側）
2.月臺電梯：大廳層西側"
板南線,台北車站,"1號電梯：B2層（板南線大廳層中央偏北處）>B4層（淡水信義線二月臺南側）
2號電梯：B3層（淡水信義線大廳層中央）>B4層（淡水信義線月臺層中央）
3號電梯：地面層（出口M1及出口M2中央）>B3層（淡水信義線大廳層北側）
4號電梯：B1層（出口M4及出口M5中央）>B2層（板南線大廳層西側）
5號電梯：出口M4（忠孝西路靠臺鐵側）>B1層（星巴克）
6號電梯：B2層（板南線大廳層中央）>B3層（板南線月臺層中央）
7號電梯：B1層（誠品書店）>B2層（板南線大廳層東側）"
板南線,西門,"1.出口電梯：
出口4（衡陽路）
出口6（漢中街與成都路口）
2.月臺電梯：大廳層中央"
板南線,龍山寺,"1.出口電梯：
出口1（和平西路3段與西園路1段交叉口）
出口2（B1至龍山商場夾層）
2.月臺電梯：大廳層中央"
板南線,江子翠,"1.出口電梯：出口3（臨文化路2段與雙十路2段）
2.月臺電梯：大廳層西側"
板南線,新埔,"1.出口電梯：
出口4（文化路2段與民生路2段交叉口)
出口5（文化路2段與民生路3段交叉口）
2.月臺電梯：大廳層東側"
板南線,板橋,"1.出口電梯：出口3（站前路5號，板橋火車站對面）
2.月臺電梯：大廳層北側"
板南線,府中,"1.出口電梯：出口1〈縣民大道、府中路交叉口西側〉
2.月臺電梯：大廳層西側"
板南線,亞東醫院,"1.出口電梯：出口3（南雅南路2段）
2.月臺電梯：大廳層西側"
板南線,海山,"1.出口電梯：出口2（臨新北高工運動場側邊）
2.月臺電梯：大廳層中央"
板南線,土城,"1.出口電梯：出口1（金城路1段）
2.月臺電梯：大廳層東側"
板南線,永寧,"1.出口電梯：
出口1（中央路3段98巷口與承天路口）
出口2（中央路3段與承天路口停車場旁）
2.月臺電梯：大廳層西側"
板南線,頂埔,"1.出口電梯：
出口1 (中央路4段約100號旁)
出口3 (中央路4段)
出口4 (中央路4段62號旁)
2.月臺電梯：大廳層付費區中央
"
